path,family,public_action,exact_sudo_path,local_path,operator_target,private_network,hardware_identifier
"data/captures/honey/smi-validate-after-tuned-activation-2026-04-22.txt","smi-hwlat","public-ok",0,0,0,0,0
"data/captures/honey/smi-validate-generic-2026-04-25-sample-01.txt","smi-hwlat","publish-derived-summary",0,0,1,0,0
"data/captures/honey/smi-validate-generic-2026-04-25-sample-02.txt","smi-hwlat","publish-derived-summary",0,0,1,0,0
"data/captures/honey/smi-validate-generic-2026-04-25-sample-03.txt","smi-hwlat","publish-derived-summary",0,0,1,0,0
"data/captures/honey/smi-validate-generic-repeat-2026-04-26-sample-01.txt","smi-hwlat","publish-derived-summary",0,0,1,0,0
"data/captures/honey/smi-validate-generic-repeat-2026-04-26-sample-02.txt","smi-hwlat","publish-derived-summary",0,0,1,0,0
"data/captures/honey/smi-validate-generic-repeat-2026-04-26-sample-03.txt","smi-hwlat","publish-derived-summary",0,0,1,0,0
"data/captures/honey/smi-validate-post-reboot-usbemu-disable-2026-04-22.txt","smi-hwlat","public-ok",0,0,0,0,0
"data/captures/honey/smi-validate-post-rt-boot-2026-04-23.txt","smi-hwlat","public-ok",0,0,0,0,0
"data/captures/honey/smi-validate-post-rt-recheck-2026-04-23.txt","smi-hwlat","public-ok",0,0,0,0,0
"data/captures/honey/smi-validate-post-tuned-reboot-2026-04-22.txt","smi-hwlat","public-ok",0,0,0,0,0
"data/captures/honey/smi-validate-post-usbemu-disable-pre-reboot-2026-04-22.txt","smi-hwlat","public-ok",0,0,0,0,0
"data/captures/honey/smi-validate-rt-2026-04-25-sample-01.txt","smi-hwlat","publish-derived-summary",0,0,1,0,0
"data/captures/honey/smi-validate-rt-2026-04-25-sample-02.txt","smi-hwlat","publish-derived-summary",0,0,1,0,0
"data/captures/honey/smi-validate-rt-2026-04-25-sample-03.txt","smi-hwlat","publish-derived-summary",0,0,1,0,0
"data/captures/honey/smi-validate-rt-repeat-2026-04-26-sample-01.txt","smi-hwlat","publish-derived-summary",0,0,1,0,0
"data/captures/honey/smi-validate-rt-repeat-2026-04-26-sample-02.txt","smi-hwlat","publish-derived-summary",0,0,1,0,0
"data/captures/honey/smi-validate-rt-repeat-2026-04-26-sample-03.txt","smi-hwlat","publish-derived-summary",0,0,1,0,0
"data/captures/honey/smi-validate-with-tracefs-hwlat-2026-04-22.txt","smi-hwlat","public-ok",0,0,0,0,0
"data/captures/honey/tuned-activate-profile-2026-04-22.txt","tuned","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/tuned-status-after-activation-2026-04-22.txt","tuned","private-or-sanitized-summary",0,0,0,0,0
"data/captures/honey/tuned-status-before-activation-2026-04-22.txt","tuned","private-or-sanitized-summary",0,0,0,0,0
